outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_LATE,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_XENOBIOTIC_METABOLISM,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,PAAD,HALLMARK_APOPTOSIS,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,SARC,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,KIRP,HALLMARK_E2F_TARGETS,0.001,0.002,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BLCA,HALLMARK_ALLOGRAFT_REJECTION,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_ALLOGRAFT_REJECTION,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_DN,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,OV,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.001,0.00433333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_P53_PATHWAY,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_APICAL_JUNCTION,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,STAD,HALLMARK_G2M_CHECKPOINT,0.001,0.00288888888888889,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,SARC,HALLMARK_IL2_STAT5_SIGNALING,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_COAGULATION,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V2,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,KIRP,HALLMARK_FATTY_ACID_METABOLISM,0.001,0.002,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_FATTY_ACID_METABOLISM,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,STAD,HALLMARK_E2F_TARGETS,0.001,0.00288888888888889,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V1,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THYM,HALLMARK_NOTCH_SIGNALING,0.001,0.00157575757575758,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_G2M_CHECKPOINT,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
