tumor_type,family,subfamily,endpoint,source,n,mean,sd,cohort_patients,missing_from_embedding_cohort
BLCA,thorsson,immune_inflammatory_and_genomic_context,B Cells Naive,Thorsson2018_PanImmune_MS,373,0.0342099793534768,0.0637392393420808,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Dendritic Cells Activated,Thorsson2018_PanImmune_MS,373,0.0469233480350321,0.0612933937112026,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Dendritic Cells Resting,Thorsson2018_PanImmune_MS,373,0.0184851805155969,0.0354761122842253,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Eosinophils,Thorsson2018_PanImmune_MS,373,0.00161963714242632,0.00697109684436298,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Macrophages M0,Thorsson2018_PanImmune_MS,373,0.0626023335596983,0.0965460688815677,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Macrophages M1,Thorsson2018_PanImmune_MS,373,0.0486759706315886,0.0512876224125561,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Macrophages M2,Thorsson2018_PanImmune_MS,373,0.214103052582742,0.115752375985742,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Mast Cells Activated,Thorsson2018_PanImmune_MS,373,0.02574865502239,0.0432984281534305,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Mast Cells Resting,Thorsson2018_PanImmune_MS,373,0.0359209585298584,0.053673947125752,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Monocytes,Thorsson2018_PanImmune_MS,373,0.0255731454397509,0.0287349318993234,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Neutrophils,Thorsson2018_PanImmune_MS,373,0.00600238888114134,0.014522875940888,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,NK Cells Activated,Thorsson2018_PanImmune_MS,373,0.0303135608233898,0.0305531833791851,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,NK Cells Resting,Thorsson2018_PanImmune_MS,373,0.0182921443572801,0.028678980248761,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Plasma Cells,Thorsson2018_PanImmune_MS,373,0.055018580587614,0.064293581238329,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,T Cells CD4 Memory Activated,Thorsson2018_PanImmune_MS,373,0.00992160383631934,0.0229191331368213,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,373,0.0425053548318477,0.0567064899644058,386,13
