outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,STK11,TCGA_MC3_Bailey2018,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUAD,TP53,TCGA_MC3_Bailey2018,ProvGigaPath,5,4,0.8,ProvGigaPath,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,ARHGAP35,TCGA_MC3_Bailey2018,ProvGigaPath,5,5,1,ProvGigaPath,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,ARID1A,TCGA_MC3_Bailey2018,GigaSSL,5,4,0.8,GigaSSL,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,CDKN2A,TCGA_MC3_Bailey2018,ProvGigaPath,5,3,0.6,ProvGigaPath,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,FBXW7,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KDM6A,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KEAP1,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,KMT2D,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,NF1,TCGA_MC3_Bailey2018,ProvGigaPath,5,1,0.2,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,NFE2L2,TCGA_MC3_Bailey2018,TITAN,5,2,0.4,ProvGigaPath,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,PTEN,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,RASA1,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,RB1,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,LUSC,TP53,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,OV,TP53,TCGA_MC3_Bailey2018,ProvGigaPath,5,4,0.8,ProvGigaPath,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,CDKN2A,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,KRAS,TCGA_MC3_Bailey2018,ProvGigaPath,5,3,0.6,ProvGigaPath,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,PAAD,TP53,TCGA_MC3_Bailey2018,ProvGigaPath,5,0,0,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,FOXA1,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,SPOP,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
