family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,KIRC,HALLMARK_E2F_TARGETS,510,0.292036560230823,0.292017165685992,-1.93945448311861e-05,20261828
rna_pathway_activity,LGG,GOBP_VITAMIN_B6_METABOLIC_PROCESS,490,0.291850221057169,0.287107814174235,-0.00474240688293376,20262026
rna_pathway_activity,LGG,HALLMARK_G2M_CHECKPOINT,490,0.290430708751864,0.286714575313718,-0.00371613343814575,20262044
rna_pathway_activity,KIRC,HALLMARK_APOPTOSIS,510,0.290240673558396,0.290249480605942,8.80704754624428e-06,20261822
rna_pathway_activity,BLCA,HALLMARK_KRAS_SIGNALING_UP,382,0.289145893987591,0.28990323745309,0.000757343465499105,20260995
rna_pathway_activity,THYM,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,117,0.288526940790519,0.288801315806525,0.000274375016005579,20263674
rna_pathway_activity,TGCT,HALLMARK_HEME_METABOLISM,149,0.2879662561393,0.306429600267469,0.0184633441281688,20263433
rna_pathway_activity,THCA,HALLMARK_ANGIOGENESIS,503,0.287874922430466,0.287666424717742,-0.000208497712724465,20263523
rna_pathway_activity,PAAD,HALLMARK_UV_RESPONSE_DN,176,0.287644490879798,0.289891685440014,0.00224719456021588,20262712
rna_pathway_activity,THYM,HALLMARK_ESTROGEN_RESPONSE_EARLY,117,0.286274253850531,0.286447428529465,0.000173174678934129,20263638
rna_pathway_activity,UCEC,HALLMARK_G2M_CHECKPOINT,492,0.284447504750529,0.28431727056299,-0.000130234187538714,20263749
rna_pathway_activity,LIHC,HALLMARK_MYC_TARGETS_V2,358,0.283827065394045,0.283827065394045,-4.44089209850063e-16,20262166
rna_pathway_activity,LIHC,HALLMARK_COAGULATION,358,0.283657665623776,0.283657665623776,1.66533453693773e-16,20262143
rna_pathway_activity,KIRC,HALLMARK_KRAS_SIGNALING_UP,510,0.283551598287482,0.28353470763933,-1.68906481518016e-05,20261844
rna_pathway_activity,HNSC,HALLMARK_INTERFERON_ALPHA_RESPONSE,442,0.283011492232277,0.282702061488447,-0.000309430743829553,20261633
rna_pathway_activity,ACC,HALLMARK_FATTY_ACID_METABOLISM,55,0.281259098993518,0.217881008470114,-0.0633780905234037,20260875
rna_pathway_activity,BLCA,HALLMARK_MTORC1_SIGNALING,382,0.281175757341391,0.282477703506974,0.00130194616558255,20260997
rna_pathway_activity,BRCA,HALLMARK_ESTROGEN_RESPONSE_LATE,1052,0.280787006668127,0.280990566812092,0.000203560143964887,20261090
rna_pathway_activity,UCEC,HALLMARK_ALLOGRAFT_REJECTION,492,0.280642214189744,0.280989744763654,0.00034753057391046,20263733
rna_pathway_activity,LIHC,HALLMARK_P53_PATHWAY,358,0.280352783829303,0.280352783829303,-1.66533453693773e-16,20262170
rna_pathway_activity,LIHC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,358,0.280058814132793,0.280058814132793,-3.33066907387547e-16,20262173
rna_pathway_activity,LIHC,HALLMARK_DNA_REPAIR,358,0.27998239196044,0.27998239196044,-1.66533453693773e-16,20262145
rna_pathway_activity,HNSC,HALLMARK_INTERFERON_GAMMA_RESPONSE,442,0.279664005991543,0.279276527390774,-0.000387478600769098,20261634
rna_pathway_activity,KIRP,GOBP_VITAMIN_B6_METABOLIC_PROCESS,272,0.279626374905486,0.279399497748859,-0.000226877156626781,20261922
rna_pathway_activity,UCS,HALLMARK_P53_PATHWAY,53,0.279495926003822,0.251580839380985,-0.0279150866228373,20263867
rna_pathway_activity,PAAD,HALLMARK_G2M_CHECKPOINT,176,0.278019124134735,0.271925413802927,-0.00609371033180756,20262683
rna_pathway_activity,PAAD,HALLMARK_CHOLESTEROL_HOMEOSTASIS,176,0.277790267834392,0.276368239539236,-0.00142202829515603,20262674
rna_pathway_activity,LGG,HALLMARK_NOTCH_SIGNALING,490,0.277287024010229,0.279130248461993,0.00184322445176355,20262061
rna_pathway_activity,PAAD,HALLMARK_KRAS_SIGNALING_UP,176,0.277171637985686,0.273540415250408,-0.00363122273527849,20262694
