grouped_job_id,outer_fold,test_n,training_n,test_codes,training_codes,test_positive,test_negative,training_positive,training_negative,single_class_test
89,5,79,381,6,29,3,76,26,355,FALSE
90,1,27,43,3,6,5,22,16,27,FALSE
90,2,5,65,2,7,1,4,20,45,FALSE
90,3,35,35,2,7,12,23,9,26,FALSE
90,4,1,69,1,8,1,0,20,49,TRUE
90,5,2,68,1,8,2,0,19,49,TRUE
91,1,20,155,5,20,14,6,102,53,FALSE
91,2,8,167,5,20,4,4,112,55,FALSE
91,3,26,149,5,20,17,9,99,50,FALSE
91,4,24,151,5,20,18,6,98,53,FALSE
91,5,97,78,5,20,63,34,53,25,FALSE
92,1,23,152,5,20,16,7,90,62,FALSE
92,2,30,145,5,20,14,16,92,53,FALSE
92,3,18,157,5,20,9,9,97,60,FALSE
92,4,66,109,5,20,44,22,62,47,FALSE
92,5,38,137,5,20,23,15,83,54,FALSE
93,1,135,233,6,20,13,122,26,207,FALSE
93,2,52,316,5,21,5,47,34,282,FALSE
93,3,39,329,5,21,3,36,36,293,FALSE
93,4,71,297,5,21,9,62,30,267,FALSE
93,5,71,297,5,21,9,62,30,267,FALSE
94,1,208,160,6,20,25,183,17,143,FALSE
94,2,23,345,5,21,1,22,41,304,FALSE
94,3,46,322,5,21,9,37,33,289,FALSE
94,4,33,335,5,21,2,31,40,295,FALSE
94,5,58,310,5,21,5,53,37,273,FALSE
95,1,33,101,3,10,22,11,42,59,FALSE
95,2,10,124,3,10,8,2,56,68,FALSE
95,3,69,65,3,10,16,53,48,17,FALSE
95,4,20,114,2,11,17,3,47,67,FALSE
95,5,2,132,2,11,1,1,63,69,FALSE
96,1,66,68,3,10,6,60,23,45,FALSE
96,2,21,113,3,10,8,13,21,92,FALSE
96,3,32,102,3,10,9,23,20,82,FALSE
96,4,11,123,2,11,4,7,25,98,FALSE
96,5,4,130,2,11,2,2,27,103,FALSE
97,1,61,73,4,9,9,52,57,16,FALSE
97,2,20,114,3,10,17,3,49,65,FALSE
97,3,19,115,2,11,14,5,52,63,FALSE
97,4,28,106,2,11,21,7,45,61,FALSE
97,5,6,128,2,11,5,1,61,67,FALSE
98,1,21,208,7,24,4,17,31,177,FALSE
98,2,27,202,6,25,6,21,29,173,FALSE
98,3,23,206,6,25,5,18,30,176,FALSE
98,4,20,209,6,25,2,18,33,176,FALSE
98,5,138,91,6,25,18,120,17,74,FALSE
99,1,16,213,7,24,1,15,23,190,FALSE
99,2,27,202,7,24,4,23,20,182,FALSE
99,3,153,76,6,25,19,134,5,71,FALSE
99,4,15,214,6,25,0,15,24,190,TRUE
99,5,18,211,5,26,0,18,24,187,TRUE
100,1,22,207,7,24,5,17,76,131,FALSE
100,2,40,189,6,25,20,20,61,128,FALSE
100,3,15,214,6,25,6,9,75,139,FALSE
100,4,18,211,6,25,9,9,72,139,FALSE
100,5,134,95,6,25,41,93,40,55,FALSE
101,1,7,91,4,11,3,4,49,42,FALSE
101,2,29,69,4,11,16,13,36,33,FALSE
101,3,14,84,3,12,6,8,46,38,FALSE
101,4,46,52,2,13,26,20,26,26,FALSE
101,5,2,96,2,13,1,1,51,45,FALSE
102,1,157,208,6,16,18,139,18,190,FALSE
102,2,81,284,4,18,5,76,31,253,FALSE
102,3,38,327,4,18,4,34,32,295,FALSE
102,4,38,327,4,18,5,33,31,296,FALSE
102,5,51,314,4,18,4,47,32,282,FALSE
103,1,86,279,5,17,23,63,66,213,FALSE
103,2,75,290,5,17,18,57,71,219,FALSE
103,3,152,213,4,18,38,114,51,162,FALSE
103,4,19,346,4,18,2,17,87,259,FALSE
103,5,33,332,4,18,8,25,81,251,FALSE
104,1,41,324,5,17,3,38,19,305,FALSE
104,2,149,216,5,17,10,139,12,204,FALSE
104,3,55,310,4,18,3,52,19,291,FALSE
104,4,21,344,4,18,0,21,22,322,TRUE
104,5,99,266,4,18,6,93,16,250,FALSE
105,1,14,351,5,17,1,13,28,323,FALSE
105,2,99,266,5,17,11,88,18,248,FALSE
105,3,67,298,5,17,6,61,23,275,FALSE
105,4,72,293,4,18,5,67,24,269,FALSE
105,5,113,252,3,19,6,107,23,229,FALSE
