family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc
driver_mutation,BRCA,FOXA1,4,0.214285714285714,0.989506820566632,0.601896267426173,0.68812771698396
driver_mutation,BRCA,FOXA1,5,0.142857142857143,0.991605456453305,0.567231299655224,0.731861789836606
driver_mutation,KIRC,VHL,1,0.614906832298137,0.567708333333333,0.591307582815735,0.612027691511387
driver_mutation,KIRC,VHL,2,0.559006211180124,0.567708333333333,0.563357272256729,0.556547619047619
driver_mutation,KIRC,VHL,3,0.565217391304348,0.5625,0.563858695652174,0.575601708074534
driver_mutation,KIRC,VHL,4,0.60248447204969,0.557291666666667,0.579888069358178,0.589706262939959
driver_mutation,KIRC,VHL,5,0.546583850931677,0.583333333333333,0.564958592132505,0.603746118012422
fusion,UCEC,Any called fusion,1,0.775,0.780821917808219,0.77791095890411,0.818835616438356
fusion,UCEC,Any called fusion,2,0.7625,0.767123287671233,0.764811643835616,0.773801369863014
fusion,UCEC,Any called fusion,3,0.7625,0.753424657534247,0.757962328767123,0.802739726027397
fusion,UCEC,Any called fusion,4,0.75,0.821917808219178,0.785958904109589,0.833390410958904
fusion,UCEC,Any called fusion,5,0.7375,0.780821917808219,0.75916095890411,0.825171232876712
fusion,LGG,Any called fusion,1,0.669491525423729,0.737051792828685,0.703271659126207,0.76564926733743
fusion,LGG,Any called fusion,2,0.652542372881356,0.764940239043825,0.70874130596259,0.758069417246269
fusion,LGG,Any called fusion,3,0.677966101694915,0.737051792828685,0.7075089472618,0.763454655952461
fusion,LGG,Any called fusion,4,0.673728813559322,0.760956175298805,0.717342494429063,0.769667094334526
fusion,LGG,Any called fusion,5,0.669491525423729,0.721115537848606,0.695303531636167,0.75901478830441
fusion,THCA,Fusion pair: CCDC6--RET,1,0.285714285714286,0.977130977130977,0.631422631422631,0.766854766854767
fusion,THCA,Fusion pair: CCDC6--RET,2,0.428571428571429,0.985446985446985,0.707009207009207,0.851796851796852
fusion,THCA,Fusion pair: CCDC6--RET,3,0.285714285714286,0.979209979209979,0.632462132462132,0.803088803088803
fusion,THCA,Fusion pair: CCDC6--RET,4,0.333333333333333,0.972972972972973,0.653153153153153,0.803088803088803
fusion,THCA,Fusion pair: CCDC6--RET,5,0.476190476190476,0.983367983367983,0.72977922977923,0.851400851400851
fusion,THCA,Any called fusion,1,0.420289855072464,0.843406593406593,0.631848224239529,0.658584169453735
fusion,THCA,Any called fusion,2,0.463768115942029,0.840659340659341,0.652213728300685,0.71074215639433
fusion,THCA,Any called fusion,3,0.420289855072464,0.843406593406593,0.631848224239529,0.654662366618888
fusion,THCA,Any called fusion,4,0.434782608695652,0.851648351648352,0.643215480172002,0.674490364707756
fusion,THCA,Any called fusion,5,0.405797101449275,0.85989010989011,0.632843605669693,0.669075489727664
fusion,SARC,Any called fusion,1,0.847222222222222,0.333333333333333,0.590277777777778,0.679655349794239
fusion,SARC,Any called fusion,2,0.893518518518519,0.194444444444444,0.543981481481481,0.660108024691358
fusion,SARC,Any called fusion,3,0.902777777777778,0.25,0.576388888888889,0.60326646090535
fusion,SARC,Any called fusion,4,0.851851851851852,0.361111111111111,0.606481481481482,0.63695987654321
fusion,SARC,Any called fusion,5,0.893518518518519,0.361111111111111,0.627314814814815,0.638117283950617
fusion,PRAD,Fusion pair: TMPRSS2--ERG,1,0.547169811320755,0.705394190871369,0.626282001096062,0.675670033142827
