outcome_type,family,tumor_type,endpoint,n,n_codes,grouped_metric,matched_random_metric,grouped_minus_matched,paired_ci_low,paired_ci_high,bootstrap_resamples,code_only_metric,code_heterogeneity,code_heterogeneity_minimum5,minimum_prevalence_minimum5,maximum_prevalence_minimum5,codes_with_minimum5,minimum_code_n,maximum_code_n,heterogeneity_definition,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_components_median,matched_components_median,seed
binary,oncogenic_pathway,HNSC,TP53,412,25,0.64474358974359,0.639102564102564,0.00564102564102575,-0.0386033004453835,0.0485777227776684,1000,0.495817307692308,0.75,0.549019607843137,0.333333333333333,0.882352941176471,14,1,130,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,6,20260898
binary,oncogenic_pathway,KIRP,Cell Cycle,243,31,0.6880706025563,0.731740718198418,-0.043670115642118,-0.132381834599577,0.0431077664566863,1000,0.633444917833232,1,0.4,0,0.4,16,1,33,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,6,20260895
binary,oncogenic_pathway,LGG,Cell Cycle,476,25,0.604069714389999,0.614955744137239,-0.0108860297472396,-0.0461290341529691,0.0245793357395897,1000,0.473181859658728,1,0.385714285714286,0.214285714285714,0.6,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,1,1,20260909
binary,oncogenic_pathway,LGG,HIPPO,481,25,0.784701743494231,0.805628847845207,-0.0209271043509753,-0.0599261069465972,0.020950954612527,1000,0.581005225309121,0.5,0.473684210526316,0.526315789473684,1,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,2,20260882
binary,oncogenic_pathway,LGG,RTK RAS,481,25,0.68519588953115,0.692239349175765,-0.00704345964461572,-0.0406452584904477,0.0256623931623932,1000,0.550749304217512,1,0.5,0,0.5,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,2,20260890
binary,oncogenic_pathway,LGG,TGF-Beta,481,25,0.633475783475784,0.65968660968661,-0.0262108262108262,-0.0776894111850185,0.0237621344505287,1000,0.560607056760903,1,0.421428571428571,0.15,0.571428571428571,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,7,4,20260903
binary,oncogenic_pathway,LGG,TP53,481,25,0.811729890627163,0.803016405925516,0.00871348470164757,-0.0223751147556957,0.0377948945507587,1000,0.5180153675758,1,0.75,0.25,1,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,5,20260883
binary,oncogenic_pathway,LGG,WNT,481,25,0.69143947655398,0.754896401308615,-0.0634569247546346,-0.104845884640866,-0.0254725831544372,1000,0.462857142857143,1,0.476190476190476,0,0.476190476190476,16,1,99,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,3,20260894
binary,oncogenic_pathway,LIHC,Cell Cycle,337,33,0.623871100164204,0.612089490968801,0.0117816091954024,-0.0510196914174013,0.0716451779221845,1000,0.508600164203612,1,0.6,0.4,1,12,1,139,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,5,20260902
binary,oncogenic_pathway,LIHC,TP53,337,33,0.630539932508436,0.577521559805024,0.053018372703412,-0.0123740880931778,0.114021274357377,1000,0.513404574428196,1,0.457142857142857,0.142857142857143,0.6,12,1,139,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,6,20260908
binary,oncogenic_pathway,LIHC,WNT,337,33,0.551450053705693,0.591174364482635,-0.0397243107769424,-0.102422170646915,0.0231706589156732,1000,0.547099892588614,1,0.746031746031746,0.111111111111111,0.857142857142857,12,1,139,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,4,20260904
binary,oncogenic_pathway,LUAD,TP53,451,33,0.690244958554992,0.671821518413131,0.0184234401418615,-0.0202940317896494,0.0557705441173183,1000,0.53497051424801,1,0.55,0.2,0.75,22,1,89,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,1,3,20260896
binary,oncogenic_pathway,LUSC,NRF2,443,35,0.533016535735868,0.545184859638521,-0.0121683239026534,-0.0676157871123033,0.0408814657745557,1000,0.528800197769598,1,0.537593984962406,0.105263157894737,0.642857142857143,24,1,50,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,9,20260910
binary,oncogenic_pathway,PCPG,Cell Cycle,155,17,0.58399209486166,0.578392621870883,0.00559947299077734,-0.0540266798418973,0.076056942343662,1000,0.558465085638999,1,0.228571428571429,0,0.228571428571429,9,1,35,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,10,10,20260889
binary,oncogenic_pathway,PCPG,RTK RAS,158,17,0.598149492017417,0.650761973875181,-0.0526124818577648,-0.146739187884916,0.0295043103448276,1000,0.484579100145138,1,0.430555555555556,0.125,0.555555555555556,9,1,35,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,3,3,20260891
