family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,UCEC,Genome doubling,1,5,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,2,1,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,2,2,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,2,3,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,2,4,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,2,5,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,3,1,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,3,2,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,3,3,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,3,4,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,3,5,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,4,1,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,4,2,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,4,3,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,4,4,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,4,5,477,97,380,382,78,304,95,19,76,FALSE
aneuploidy,UCEC,Genome doubling,5,1,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,5,2,477,97,380,381,77,304,96,20,76,FALSE
aneuploidy,UCEC,Genome doubling,5,3,477,97,380,382,78,304,95,19,76,FALSE
