foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
ProvGigaPath,binary,driver_mutation,KRAS,TCGA_MC3_Bailey2018,6,5,83.3333333333333,COAD;PAAD;READ;STAD;UCEC
TITAN,binary,driver_mutation,KRAS,TCGA_MC3_Bailey2018,6,3,50,COAD;STAD;UCEC
GigaSSL,binary,driver_mutation,MAP3K1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,MAP3K1,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,MAP3K1,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,MGA,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,MGA,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,MGA,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,MSH6,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,MSH6,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,MSH6,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,MTOR,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,MTOR,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,MTOR,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,MUC6,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,MUC6,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,MUC6,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,NF1,TCGA_MC3_Bailey2018,3,0,0,""
ProvGigaPath,binary,driver_mutation,NF1,TCGA_MC3_Bailey2018,3,0,0,""
TITAN,binary,driver_mutation,NF1,TCGA_MC3_Bailey2018,3,2,66.6666666666667,LGG;LUAD
GigaSSL,binary,driver_mutation,NFE2L2,TCGA_MC3_Bailey2018,4,0,0,""
ProvGigaPath,binary,driver_mutation,NFE2L2,TCGA_MC3_Bailey2018,4,0,0,""
TITAN,binary,driver_mutation,NFE2L2,TCGA_MC3_Bailey2018,4,2,50,BLCA;LUSC
GigaSSL,binary,driver_mutation,NOTCH1,TCGA_MC3_Bailey2018,3,0,0,""
ProvGigaPath,binary,driver_mutation,NOTCH1,TCGA_MC3_Bailey2018,3,1,33.3333333333333,LGG
