family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
driver_mutation,UVM,GNA11,2,0.75,0.555555555555556,0.727272727272727,0.641414141414141,0.633207070707071,0.559230590775095,0.625,0.666666666666667,0.45
driver_mutation,UVM,GNA11,3,0.75,0.388888888888889,0.704545454545455,0.546717171717172,0.59469696969697,0.53545165159195,0.518518518518519,0.584905660377359,0.45
driver_mutation,UVM,GNA11,4,0.75,0.555555555555556,0.568181818181818,0.561868686868687,0.589646464646465,0.563096319199241,0.512820512820513,0.609756097560976,0.45
driver_mutation,UVM,GNA11,5,0.75,0.527777777777778,0.545454545454545,0.536616161616162,0.580176767676768,0.544594482137168,0.487179487179487,0.585365853658537,0.45
driver_mutation,UVM,GNA11,1,1,0.5,0.681818181818182,0.590909090909091,0.554924242424242,0.513315796085852,0.5625,0.625,0.45
driver_mutation,UVM,GNA11,2,1,0.611111111111111,0.681818181818182,0.646464646464646,0.642676767676768,0.584460305201588,0.611111111111111,0.681818181818182,0.45
driver_mutation,UVM,GNA11,3,1,0.5,0.681818181818182,0.590909090909091,0.587121212121212,0.561632856692958,0.5625,0.625,0.45
driver_mutation,UVM,GNA11,4,1,0.583333333333333,0.613636363636364,0.598484848484849,0.63510101010101,0.600855392757503,0.552631578947369,0.642857142857143,0.45
driver_mutation,UVM,GNA11,5,1,0.555555555555556,0.659090909090909,0.607323232323232,0.632575757575758,0.609678650950201,0.571428571428571,0.644444444444445,0.45
fusion,SARC,Any called fusion,1,0.5,0.921296296296296,0.138888888888889,0.530092592592593,0.614711934156379,0.906027229568764,0.865217391304348,0.227272727272727,0.857142857142857
fusion,SARC,Any called fusion,2,0.5,0.884259259259259,0.222222222222222,0.553240740740741,0.665509259259259,0.907855547926636,0.872146118721461,0.242424242424242,0.857142857142857
