grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
599,0.0100719606560816,1.65461087961665,26
600,-0.012465246170511,0.782789578662489,26
601,0.0188905475148452,1.49252332425926,26
602,-0.0913444829931063,1.33955805013158,26
603,-0.0816163034020738,1.54000905315856,26
604,-0.0204367832353223,1.42376017788805,26
605,0.0974067988589236,1.93215244096796,26
606,0.122547270627011,1.65343701714439,13
607,0.122604643103799,1.30976163235855,13
608,-0.12651710545913,1.76577033171699,34
609,-0.50947776834938,0.773986194503657,34
610,-0.0274756424174243,1.88938692663612,34
611,-0.089003652706195,1.01282491438238,34
612,-0.170608862678212,0.631238496143616,34
613,-0.224444606275272,0.666437136102706,34
614,-0.0320435275219992,1.0626469397338,34
615,-0.155979786147715,1.84699822879861,34
616,-0.0816624243892552,1.18292835068783,34
617,-0.115795790158116,1.60177435657564,34
618,-0.103415987485772,0.873126779508875,34
619,-0.122409533040415,1.48569570213725,34
620,-0.0903757490520238,1.48236215518728,34
621,-0.00918327784292616,1.99074708447449,34
622,-0.0718135310081371,1.97527957939597,34
623,-0.114054174587079,0.975979599408525,34
624,-0.13599397003349,1.18875985805027,34
625,-0.212532249520115,1.59923267063839,34
626,-0.0545972585321164,1.90912289531626,34
627,-0.204134930749837,0.765063136737121,34
628,-0.108919988133434,0.676326247365456,34
629,-0.212038959909499,1.05120783201735,34
630,-0.10034970902652,1.04241795849163,34
631,-0.0179307165657012,1.20481436038713,34
632,-0.168915665076736,0.56522915191514,34
633,-0.127115715755402,0.53015947154887,15
634,-0.125132119411361,1.18186293007716,22
635,0.076106473546753,0.594669465683285,22
636,0.0250024516459121,0.606503828121047,22
637,-0.0476697404778919,0.578163935208275,22
638,-0.0510338739127569,1.22765694503991,22
639,0.0896878229107031,1.72474334798926,22
640,-0.0203100162936767,1.15457032861306,22
641,-0.0815336815486711,0.606630124147028,22
642,-0.0171705751685316,0.903291292561692,22
643,-0.111953842530284,0.590249706006533,22
644,0.0247595948110612,0.955731819141851,22
645,-0.05510647067302,1.30886686141209,22
646,-0.073222558489789,1.41239864918303,22
647,0.0782002074144984,0.849431716744998,22
648,-0.055950296738998,0.940081237605869,22
649,0.0243013331472395,0.77321305379759,22
650,-0.137107800587887,0.592780099380477,15
651,0.0968473716301899,0.653767172875734,15
652,0.0102702538579381,1.32508430478439,15
653,0.104474026360642,0.596146325947985,15
654,0.123524454380006,1.29823691342707,15
655,0.0867225128005805,0.577912167496565,15
656,-0.0278055782744215,0.455992654693891,15
657,0.00168531148090711,0.921990228514672,15
658,-0.155187029719889,0.555206081721146,15
659,0.13830852369409,0.969672862168131,15
660,0.0370273990365829,1.0283942809058,15
661,-0.0989171140349256,1.1310843853275,15
662,-0.00663822420050142,0.573684792550312,15
663,-0.0184377510222871,0.968229671915008,15
664,0.000795172872304129,1.23797486416765,15
665,0.131323807673694,0.660683579217992,15
666,0.185096058625098,0.786208580717492,15
667,0.113487063207077,0.800359671727153,15
668,0.0699306669422085,0.980449521850105,15
669,0.0982638244174099,0.830788334712548,15
670,0.0856875635501079,0.903899203843775,15
671,-0.0725552673492764,0.340868994175635,15
672,0.162780610032188,1.06038697038815,15
673,-0.275206075008847,0.956335281637781,15
674,-0.226882213833759,1.16048005111915,15
675,-0.141007777023298,1.27340055771112,15
676,-0.0971323311288299,1.48611344021663,15
677,-0.099187643963597,1.41714526891847,15
678,-0.158491161116597,0.451459411056496,15
679,-0.128847495035975,0.68440864563892,15
680,-0.0292712701724986,0.867323398245703,15
681,-0.0563935050271331,0.930903851839214,15
682,-0.119436508586543,0.823288292924444,15
683,0.00799776892106863,1.00329816557449,15
684,0.0969837297468502,0.921808263384378,15
685,-0.0343670911478335,0.843521351185132,15
686,0.0633766662293378,0.85659358761367,15
687,-0.00325600109032043,0.834288914434882,15
688,-0.0298610700952964,0.66385565164079,15
689,-0.0449840351805844,0.715384075658082,15
690,-0.135592662162826,0.834410527658984,15
691,0.24948391201476,0.883093436091055,15
692,-0.131519448945328,1.29950278743922,15
693,-0.0508609562144859,0.541981524806423,15
694,-0.066815957156336,0.441030201161129,15
695,0.0350655495127316,0.796567893725852,15
696,0.177681924208006,0.685386485372396,15
697,0.0197349058643964,0.956540807806312,15
698,0.0297582645006173,0.715706598580492,15
699,0.0580299125188947,1.29474391526403,22
700,0.0375749232263279,0.367735543737962,22
701,-0.0295310356940968,1.02715857921957,22
702,0.0150965665492622,1.29940338647955,22
703,0.0904555721575536,0.93638659763484,22
704,-0.0157429949269636,0.732824900137337,22
705,0.0539742886935335,0.722131024758727,22
706,0.0149854329575155,0.679414828520799,22
707,0.00234793090035734,0.816095883638741,22
708,0.0388398646181344,0.69104142589944,22
